iter	Passed	Remaining
399	68428	786925
400	68578	786518
401	68739	786226
402	68914	786104
403	69093	786028
404	69275	785972
405	69448	785830
406	69606	785512
407	69775	785321
408	69955	785242
409	70132	785136
410	70299	784930
411	70469	784739
412	70637	784541
413	70806	784340
414	70970	784096
415	71145	783972
416	71301	783634
417	71476	783506
418	71650	783372
419	71830	783296
420	72006	783173
421	72178	783011
422	72336	782705
423	72510	782566
424	72685	782437
425	72851	782215
426	73026	782086
427	73185	781780
428	73357	781623
429	73532	781497
430	73704	781333
431	73877	781181
432	74046	780993
433	74224	780896
434	74394	780711
435	74561	780505
436	74715	780154
437	74869	779810
438	75016	779382
439	75152	778851
440	75307	778521
441	75459	778157
442	75651	778198
443	75829	778101
444	76021	778153
445	76191	777975
446	76370	777885
447	76538	777681
448	76717	777595
449	76889	777435
450	77057	777238
451	77213	776914
452	77382	776729
453	77546	776490
454	77724	776387
455	77888	776148
456	78066	776054
457	78227	775787
458	78398	775619
459	78569	775450
460	78741	775283
461	78907	775066
462	79058	774705
463	79229	774538
464	79398	774349
465	79572	774212
466	79741	774024
467	79899	773728
468	80076	773615
469	80239	773369
470	80406	773170
471	80571	772936
472	80747	772819
473	80915	772624
474	81081	772404
475	81243	772155
476	81409	771943
477	81578	771754
478	81750	771593
479	81917	771386
480	82086	771199
481	82248	770947
482	82420	770794
483	82587	770586
484	82749	770340
485	82922	770190
486	83101	770100
487	83261	769825
488	83436	769701
489	83602	769483
490	83771	769295
491	83949	769192
492	84120	769033
493	84282	768774
494	84455	768630
495	84619	768398
496	84791	768245
497	84943	767906
498	85107	767676
499	85265	767390
500	85440	767255
501	85615	767124
502	85788	766978
503	85959	766810
504	86122	766575
505	86275	766245
506	86413	765790
507	86548	765307
508	86697	764945
509	86840	764537
510	86980	764102
511	87128	763733
512	87269	763310
513	87415	762930
514	87562	762560
515	87717	762258
516	87858	761834
517	88000	761422
518	88143	761019
519	88293	760684
520	88444	760352
521	88615	760194
522	88786	760029
523	88940	759731
524	89115	759605
525	89284	759426
526	89444	759177
527	89603	758914
528	89776	758774
529	89946	758608
530	90123	758501
531	90294	758340
532	90458	758119
533	90621	757892
534	90791	757728
535	90950	757465
536	91128	757368
537	91300	757215
538	91468	757030
539	91633	756821
540	91774	756422
541	91894	755843
542	92023	755342
543	92155	754864
544	92271	754258
545	92388	753657
546	92503	753045
547	92621	752468
548	92739	751879
549	92872	751420
550	93002	750943
551	93136	750492
552	93269	750035
553	93391	749488
554	93520	749004
555	93665	748649
556	93821	748385
557	94005	748334
558	94176	748190
559	94370	748225
560	94533	748013
561	94697	747806
562	94878	747734
563	95047	747573
564	95216	747403
565	95388	747267
566	95553	747067
567	95707	746788
568	95872	746590
569	96040	746416
570	96220	746343
571	96379	746098
572	96544	745900
573	96709	745709
574	96872	745496
575	97042	745341
